block_id,vol_id,tile_idx,d,h,w,density,target,path
180,22,4,14,14,14,0.995991,GPU,blocks/blk_0000180.npy
181,22,5,14,14,14,1.000000,GPU,blocks/blk_0000181.npy
182,22,6,14,14,14,1.000000,GPU,blocks/blk_0000182.npy
183,22,7,14,14,14,1.000000,GPU,blocks/blk_0000183.npy
184,23,0,14,14,14,0.815598,GPU,blocks/blk_0000184.npy
185,23,1,14,14,14,0.985058,GPU,blocks/blk_0000185.npy
186,23,2,14,14,14,0.951895,GPU,blocks/blk_0000186.npy
187,23,3,14,14,14,1.000000,GPU,blocks/blk_0000187.npy
188,23,4,14,14,14,0.982872,GPU,blocks/blk_0000188.npy
189,23,5,14,14,14,0.982143,GPU,blocks/blk_0000189.npy
190,23,6,14,14,14,0.986152,GPU,blocks/blk_0000190.npy
191,23,7,14,14,14,0.974125,GPU,blocks/blk_0000191.npy
192,24,0,14,14,14,0.912172,GPU,blocks/blk_0000192.npy
193,24,1,14,14,14,0.533892,GPU,blocks/blk_0000193.npy
194,24,2,14,14,14,0.697157,GPU,blocks/blk_0000194.npy
195,24,3,14,14,14,0.616983,GPU,blocks/blk_0000195.npy
196,24,4,14,14,14,0.556487,GPU,blocks/blk_0000196.npy
197,24,5,14,14,14,0.627187,GPU,blocks/blk_0000197.npy
198,24,6,14,14,14,0.538994,GPU,blocks/blk_0000198.npy
199,24,7,14,14,14,0.625364,GPU,blocks/blk_0000199.npy
200,25,0,14,14,14,1.000000,GPU,blocks/blk_0000200.npy
201,25,1,14,14,14,1.000000,GPU,blocks/blk_0000201.npy
202,25,2,14,14,14,0.998907,GPU,blocks/blk_0000202.npy
203,25,3,14,14,14,0.999271,GPU,blocks/blk_0000203.npy
204,25,4,14,14,14,1.000000,GPU,blocks/blk_0000204.npy
205,25,5,14,14,14,0.999636,GPU,blocks/blk_0000205.npy
206,25,6,14,14,14,1.000000,GPU,blocks/blk_0000206.npy
207,25,7,14,14,14,0.999636,GPU,blocks/blk_0000207.npy
208,26,0,14,14,14,0.949708,GPU,blocks/blk_0000208.npy
209,26,1,14,14,14,0.767128,GPU,blocks/blk_0000209.npy
210,26,2,14,14,14,0.638120,GPU,blocks/blk_0000210.npy
211,26,3,14,14,14,0.774781,GPU,blocks/blk_0000211.npy
212,26,4,14,14,14,0.804300,GPU,blocks/blk_0000212.npy
213,26,5,14,14,14,0.391035,GPU,blocks/blk_0000213.npy
214,26,6,14,14,14,0.368805,GPU,blocks/blk_0000214.npy
215,26,7,14,14,14,0.514213,GPU,blocks/blk_0000215.npy
216,27,0,14,14,14,0.980321,GPU,blocks/blk_0000216.npy
217,27,1,14,14,14,0.996720,GPU,blocks/blk_0000217.npy
218,27,2,14,14,14,0.883746,GPU,blocks/blk_0000218.npy
219,27,3,14,14,14,0.940962,GPU,blocks/blk_0000219.npy
220,27,4,14,14,14,0.981414,GPU,blocks/blk_0000220.npy
221,27,5,14,14,14,1.000000,GPU,blocks/blk_0000221.npy
222,27,6,14,14,14,0.901603,GPU,blocks/blk_0000222.npy
223,27,7,14,14,14,0.911079,GPU,blocks/blk_0000223.npy
224,28,0,14,14,14,0.998907,GPU,blocks/blk_0000224.npy
225,28,1,14,14,14,0.995991,GPU,blocks/blk_0000225.npy
226,28,2,14,14,14,0.999271,GPU,blocks/blk_0000226.npy
227,28,3,14,14,14,1.000000,GPU,blocks/blk_0000227.npy
228,28,4,14,14,14,0.962464,GPU,blocks/blk_0000228.npy
229,28,5,14,14,14,0.940233,GPU,blocks/blk_0000229.npy
230,28,6,14,14,14,0.999271,GPU,blocks/blk_0000230.npy
231,28,7,14,14,14,0.993805,GPU,blocks/blk_0000231.npy
232,29,0,14,14,14,0.998907,GPU,blocks/blk_0000232.npy
233,29,1,14,14,14,0.999636,GPU,blocks/blk_0000233.npy
234,29,2,14,14,14,0.998542,GPU,blocks/blk_0000234.npy
235,29,3,14,14,14,1.000000,GPU,blocks/blk_0000235.npy
236,29,4,14,14,14,0.999636,GPU,blocks/blk_0000236.npy
237,29,5,14,14,14,0.999636,GPU,blocks/blk_0000237.npy
238,29,6,14,14,14,0.997813,GPU,blocks/blk_0000238.npy
239,29,7,14,14,14,0.998542,GPU,blocks/blk_0000239.npy
240,30,0,14,14,14,1.000000,GPU,blocks/blk_0000240.npy
241,30,1,14,14,14,0.997813,GPU,blocks/blk_0000241.npy
242,30,2,14,14,14,1.000000,GPU,blocks/blk_0000242.npy
243,30,3,14,14,14,1.000000,GPU,blocks/blk_0000243.npy
244,30,4,14,14,14,0.998907,GPU,blocks/blk_0000244.npy
245,30,5,14,14,14,1.000000,GPU,blocks/blk_0000245.npy
246,30,6,14,14,14,1.000000,GPU,blocks/blk_0000246.npy
247,30,7,14,14,14,1.000000,GPU,blocks/blk_0000247.npy
248,31,0,14,14,14,0.502551,GPU,blocks/blk_0000248.npy
